first_name,result,series,episode,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical
Ali,IN,4,1,Imdad,25,Charity worker,"Saltley, Birmingham",Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",11
Ali,IN,4,2,Imdad,25,Charity worker,"Saltley, Birmingham",Italian Grissini,Sweet and Savoury Yin Yang Bread,9
Ali,IN,4,3,Imdad,25,Charity worker,"Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,5
Ali,OUT,4,4,Imdad,25,Charity worker,"Saltley, Birmingham",Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",8
Alice,IN,10,1,NA,NA,NA,NA,NA,NA,5
Alice,STAR BAKER,10,2,NA,NA,NA,NA,NA,NA,1
Alice,IN,10,3,NA,NA,NA,NA,NA,NA,7
Alice,IN,10,4,NA,NA,NA,NA,NA,NA,8
Alice,IN,10,5,NA,NA,NA,NA,NA,NA,6
Alice,IN,10,6,NA,NA,NA,NA,NA,NA,1
Alice,IN,10,7,NA,NA,NA,NA,NA,NA,6
Alice,IN,10,8,NA,NA,NA,NA,NA,NA,3
Alice,STAR BAKER,10,9,NA,NA,NA,NA,NA,NA,4
Alice,Runner-up,10,10,NA,NA,NA,NA,NA,NA,2
Alvin,IN,6,1,Magallanes,37,Nurse,"Bracknell, Berkshire",Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,2
Alvin,IN,6,2,Magallanes,37,Nurse,"Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,6
Alvin,IN,6,3,Magallanes,37,Nurse,"Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,4
Alvin,IN,6,4,Magallanes,37,Nurse,"Bracknell, Berkshire",Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,9
Alvin,IN,6,5,Magallanes,37,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",8
Alvin,OUT,6,6,Magallanes,37,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,6
Amelia,IN,10,1,NA,NA,NA,NA,NA,NA,4
Amelia,IN,10,2,NA,NA,NA,NA,NA,NA,9
Amelia,OUT,10,3,NA,NA,NA,NA,NA,NA,11
Andrew,IN,7,1,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,12
Andrew,IN,7,2,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,Punting in Cambridge,4
Andrew,IN,7,3,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,Braided Harvest Bread Basket,2
Andrew,IN,7,4,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box,4
Andrew,IN,7,5,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,6
Andrew,IN,7,6,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,6
Andrew,STAR BAKER,7,7,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,1
Andrew,IN,7,8,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,2
Andrew,STAR BAKER,7,9,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,2
Andrew,Runner-up,7,10,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,1
Annetha,IN,1,1,Mills,30,Midwife,Essex,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2
Annetha,OUT,1,2,Mills,30,Midwife,Essex,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7
Antony,IN,9,1,NA,NA,NA,NA,NA,NA,12
Antony,IN,9,2,NA,NA,NA,NA,NA,NA,9
Antony,OUT,9,3,NA,NA,NA,NA,NA,NA,8
Beca,IN,4,1,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,8
Beca,IN,4,2,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,11
Beca,IN,4,3,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,10
Beca,IN,4,4,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,2
Beca,IN,4,5,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,5
Beca,IN,4,6,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,6
Beca,IN,4,7,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,1
Beca,IN,4,8,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire","Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,4
Beca,OUT,4,9,Lyne-Pirkis,31,Military Wives' Choir Singer,"Aldershot, Hampshire",Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,3
Ben,IN,2,1,Frazer,31,Graphic Designer,Northampton,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,2
Ben,IN,2,2,Frazer,31,Graphic Designer,Northampton,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,1
Ben,IN,2,3,Frazer,31,Graphic Designer,Northampton,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,3
Ben,OUT,2,4,Frazer,31,Graphic Designer,Northampton,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,5
Benjamina,IN,7,1,Ebuehi,23,Teaching assistant,South London,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,6
Benjamina,IN,7,2,Ebuehi,23,Teaching assistant,South London,Bouquet Biscuits,"New York, New York",3
Benjamina,IN,7,3,Ebuehi,23,Teaching assistant,South London,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,6
Benjamina,STAR BAKER,7,4,Ebuehi,23,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,1
Benjamina,IN,7,5,Ebuehi,23,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,5
Benjamina,IN,7,6,Ebuehi,23,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,2
Benjamina,IN,7,7,Ebuehi,23,Teaching assistant,South London,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,3
Benjamina,OUT,7,8,Ebuehi,23,Teaching assistant,South London,Mexican Adventure,Tudor Garden,4
Brendan,IN,3,1,Lynch,63,Recruitment consultant,Sutton Coldfield,"Plum, Sour Cherry & Walnut",UNKNOWN,10
Brendan,IN,3,2,Lynch,63,Recruitment consultant,Sutton Coldfield,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",4
Brendan,IN,3,3,Lynch,63,Recruitment consultant,Sutton Coldfield,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",9
Brendan,STAR BAKER,3,4,Lynch,63,Recruitment consultant,Sutton Coldfield,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",1
Brendan,IN,3,5,Lynch,63,Recruitment consultant,Sutton Coldfield,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,3
Brendan,STAR BAKER,3,6,Lynch,63,Recruitment consultant,Sutton Coldfield,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",1
Brendan,IN,3,7,Lynch,63,Recruitment consultant,Sutton Coldfield,Chelsea Bunskis,Black Forest Christmas Stollen,4
Brendan,IN,3,8,Lynch,63,Recruitment consultant,Sutton Coldfield,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,2
Brendan,IN,3,9,Lynch,63,Recruitment consultant,Sutton Coldfield,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,3
Brendan,Runner-up,3,10,Lynch,63,Recruitment consultant,Sutton Coldfield,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,2
Briony,IN,9,1,NA,NA,NA,NA,NA,NA,2
Briony,IN,9,2,NA,NA,NA,NA,NA,NA,5
Briony,IN,9,3,NA,NA,NA,NA,NA,NA,9
Briony,IN,9,4,NA,NA,NA,NA,NA,NA,5
Briony,IN,9,5,NA,NA,NA,NA,NA,NA,6
Briony,STAR BAKER,9,6,NA,NA,NA,NA,NA,NA,1
Briony,IN,9,7,NA,NA,NA,NA,NA,NA,5
Briony,IN,9,8,NA,NA,NA,NA,NA,NA,1
Briony,OUT,9,9,NA,NA,NA,NA,NA,NA,3
Candice,IN,7,1,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",5
Candice,STAR BAKER,7,2,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,8
Candice,IN,7,3,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,3
Candice,IN,7,4,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,Two-Way Peanut Butter Churros,2
Candice,STAR BAKER,7,5,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",2
Candice,IN,7,6,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,5
Candice,IN,7,7,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,2
Candice,STAR BAKER,7,8,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Cheesy Cheeky Fish Pies,Peacock,1
Candice,IN,7,9,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,3
Candice,WINNER,7,10,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,2
Cathryn,IN,3,1,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Apple, Hazelnut and Calvados",Hidden Cupcake Cake,5
Cathryn,IN,3,2,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",8
Cathryn,IN,3,3,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",3
Cathryn,IN,3,4,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",3
Cathryn,IN,3,5,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,1
Cathryn,IN,3,6,Dresser,27,Shop assistant,"Pease Pottage, West Sussex","Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,3
Cathryn,IN,3,7,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,5
Cathryn,OUT,3,8,Dresser,27,Shop assistant,"Pease Pottage, West Sussex",Cheese and Pickle Crackers,Gingerbread Buckingham Palace,5
Chetna,IN,5,1,Makan,35,Fashion Designer,"Broadstairs, Kent","Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,3
Chetna,IN,5,2,Makan,35,Fashion Designer,"Broadstairs, Kent",Fenugreek and Carom Crackers,Day On The Beach,8
Chetna,IN,5,3,Makan,35,Fashion Designer,"Broadstairs, Kent",Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,8
Chetna,IN,5,4,Makan,35,Fashion Designer,"Broadstairs, Kent","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",3
Chetna,IN,5,5,Makan,35,Fashion Designer,"Broadstairs, Kent",Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,2
Chetna,STAR BAKER,5,6,Makan,35,Fashion Designer,"Broadstairs, Kent",Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,2
Chetna,IN,5,7,Makan,35,Fashion Designer,"Broadstairs, Kent",Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,6
Chetna,IN,5,8,Makan,35,Fashion Designer,"Broadstairs, Kent",Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,1
Chetna,OUT,5,9,Makan,35,Fashion Designer,"Broadstairs, Kent",Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",4
Chris,IN,8,1,Geiger,50,Software developer,Bristol,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,12
Chris,OUT,8,2,Geiger,50,Software developer,Bristol,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,11
Christine,IN,4,1,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire","Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,3
Christine,IN,4,2,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Mediterranean Breadsticks with Oregano,Double Plaited Loaf,4
Christine,STAR BAKER,4,3,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,4
Christine,IN,4,4,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire","Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,7
Christine,STAR BAKER,4,5,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,1
Christine,IN,4,6,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,4
Christine,IN,4,7,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,6
Christine,OUT,4,8,Wallace,66,Director of an engraving company,"Didcot, Oxfordshire","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,5
Claire,OUT,5,1,Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,8
Dan,IN,9,1,NA,NA,NA,NA,NA,NA,4
Dan,IN,9,2,NA,NA,NA,NA,NA,NA,3
Dan,IN,9,3,NA,NA,NA,NA,NA,NA,6
Dan,STAR BAKER,9,4,NA,NA,NA,NA,NA,NA,1
Dan,IN,9,5,NA,NA,NA,NA,NA,NA,2
Dan,OUT,9,6,NA,NA,NA,NA,NA,NA,6
Dan,OUT,10,1,NA,NA,NA,NA,NA,NA,9
Danny,IN,3,1,Bryden,45,Intensive care consultant,Sheffield,"Plum, Ginger & Orange",UNKNOWN,7
Danny,IN,3,2,Bryden,45,Intensive care consultant,Sheffield,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,3
Danny,IN,3,3,Bryden,45,Intensive care consultant,Sheffield,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",2
Danny,IN,3,4,Bryden,45,Intensive care consultant,Sheffield,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",2
Danny,IN,3,5,Bryden,45,Intensive care consultant,Sheffield,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,7
Danny,IN,3,6,Bryden,45,Intensive care consultant,Sheffield,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",2
Danny,STAR BAKER,3,7,Bryden,45,Intensive care consultant,Sheffield,Bakewell Chelsea Buns,European Christmas Wreath,2
Danny,IN,3,8,Bryden,45,Intensive care consultant,Sheffield,Spiced Almond Drinks Crackers,Gingerbread Big Ben,4
Danny,OUT,3,9,Bryden,45,Intensive care consultant,Sheffield,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,4
David,IN,1,1,Chambers,31,Entrepreneur,Milton Keynes,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3
David,IN,1,2,Chambers,31,Entrepreneur,Milton Keynes,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,8
David,IN,1,3,Chambers,31,Entrepreneur,Milton Keynes,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",4
David,OUT,1,4,Chambers,31,Entrepreneur,Milton Keynes,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",5
David,IN,10,1,NA,NA,NA,NA,NA,NA,10
David,IN,10,2,NA,NA,NA,NA,NA,NA,2
David,IN,10,3,NA,NA,NA,NA,NA,NA,2
David,IN,10,4,NA,NA,NA,NA,NA,NA,2
David,IN,10,5,NA,NA,NA,NA,NA,NA,9
David,IN,10,6,NA,NA,NA,NA,NA,NA,2
David,IN,10,7,NA,NA,NA,NA,NA,NA,2
David,IN,10,8,NA,NA,NA,NA,NA,NA,1
David,IN,10,9,NA,NA,NA,NA,NA,NA,2
David,WINNER,10,10,NA,NA,NA,NA,NA,NA,1
Deborah,IN,4,1,Manger,51,Dentist,Peterborough,Pineapple Cake,'Coffee Time',9
Deborah,IN,4,2,Manger,51,Dentist,Peterborough,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,8
Deborah,OUT,4,3,Manger,51,Dentist,Peterborough,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,9
Diana,IN,5,1,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,5
Diana,IN,5,2,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Parmesan Triangles,"Express, First Class",7
Diana,IN,5,3,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Rustic Picnic Rolls,Sharing Savoury Pinwheel,7
Diana,IN,5,4,Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,9
Diana,WD,5,5,NA,NA,NA,NA,NA,NA,NA
Diana,IN,5,6,NA,NA,NA,NA,NA,NA,NA
Diana,IN,5,7,NA,NA,NA,NA,NA,NA,NA
Diana,IN,5,8,NA,NA,NA,NA,NA,NA,NA
Diana,IN,5,9,NA,NA,NA,NA,NA,NA,NA
Diana,IN,5,10,NA,NA,NA,NA,NA,NA,NA
Dorret,IN,6,1,Conway,53,Accountant,"Penwortham, Lancashire",Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,5
Dorret,IN,6,2,Conway,53,Accountant,"Penwortham, Lancashire",Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,1
Dorret,OUT,6,3,Conway,53,Accountant,"Penwortham, Lancashire",Walnut and Stilton Soda Breads,Unmade Bread,6
Edd,IN,1,1,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Caramel Cinnamon and Banana Cake,N/A,1
Edd,IN,1,2,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Oatmeal Raisin Cookie,Pink Macarons,6
Edd,IN,1,3,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Olive Bread,Tomato and Mozzarella,1
Edd,IN,1,4,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",3
Edd,IN,1,5,Kimber,24,Debt collector for Yorkshire Bank,Bradford,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",2
Edd,WINNER,1,6,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Cinnamon and Banana Cake,NA,NA
Enwezor,IN,5,1,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,9
Enwezor,OUT,5,2,Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,9
Flo,IN,8,1,Atkins,71,Retired,Merseyside,Citrus Layer Cake,'One in a Melon' Cake,9
Flo,IN,8,2,Atkins,71,Retired,Merseyside,Gin Jam Butties,'Pick My Bones' Game,10
Flo,OUT,8,3,Atkins,71,Retired,Merseyside,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,7
Flora,IN,6,1,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Blood Orange Madeira Cake,Black Forest Gâteau,6
Flora,IN,6,2,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Wedding Biscotti,Honey and Earl Grey Tea Box,2
Flora,IN,6,3,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Fig and Hazelnut Rye Breads,Herb Couture,2
Flora,IN,6,4,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,3
Flora,IN,6,5,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,3
